,game_name,seller,raiting,game_price,raiting_amount,offers,size_app,age,number_in_category,category
59,Snow Race!‪!‬,"GOODROID,Inc.",4.3,2.99,12800.0,1,553900000.0,12,19,Racing
60,Hair Challenge,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,4.5,0.0,334100.0,1,404900000.0,12,23,Racing
61,Ball Mayhem,Voodoo,4.7,0.0,244900.0,1,237700000.0,12,29,Sports
62,Five Nights at Freddy's,CLICKTEAM L.L.C.,4.6,0.0,15300.0,1,115300000.0,12,4,Action
63,DOOM,Bethesda Softworks LLC,3.7,0.0,1600.0,1,397400000.0,17,46,Action
64,Super Mario Run,"Nintendo Co., Ltd.",3.7,2.99,62500.0,0,268800000.0,4,40,Action
65,Bridge Race,SUPERSONIC STUDIOS LTD,4.5,0.0,550600.0,1,262800000.0,4,2,Racing
66,iGun Pro 2,Crimson Moon Entertainment LLC,4.8,6.99,53700.0,1,197900000.0,12,74,Action
67,Rusted Warfare - RTS,CG SOFTWARE PTY LTD,4.8,4.99,247.0,0,148500000.0,9,58,Strategy
68,PUBG MOBILE,Tencent Mobile International Limited,4.3,2.99,1400000.0,1,2100000000.0,12,8,Strategy
69,Gunfire Reborn,"HONGKONG DELAN CO., LIMITED",4.7,0.0,306.0,1,1400000000.0,17,26,Playing
70,DOOM II,Bethesda Softworks LLC,3.7,0.0,306.0,1,393100000.0,17,73,Action
71,3D Fish Feeding and Grow,M Usman Rasheed,3.7,4.99,1400.0,0,493600000.0,4,82,Adventure
72,Apex Legends Mobile,EA Swiss Sarl,4.8,0.0,236500.0,1,3900000000.0,12,13,Strategy
73,Getting Over It,Bennett Foddy,4.3,0.0,5100.0,1,248300000.0,4,12,Action
74,Flight‪!‬,Armor Games Inc,4.6,0.99,87.0,0,64900000.00000001,4,27,Casual
75,Race Master 3D - Car Racing,SayGames LTD,4.6,0.0,183600.0,1,287900000.0,4,8,Racing
76,Sandwich Runner,"Dwango Co., Ltd.",4.5,0.99,32000.0,0,177900000.0,12,77,Action
77,Zombieville USA 2,"Mika Mobile, Inc.",4.5,0.0,1500.0,1,176200000.0,12,11,Casual
78,Slice It All‪!‬,Voodoo,4.5,0.0,203200.0,0,337100000.0,4,26,Action
79,20 Watch Games - Classic Pack,Le Thi Thanh Binh,4.1,0.0,559.0,1,54700000.0,4,30,Casual
80,Helix Jump,Voodoo,4.6,4.99,1500000.0,0,262500000.0,12,14,Action
81,Bendy and the Ink Machine,Joey Drew Studios Inc.,4.5,0.0,4200.0,0,1300000000.0,12,31,Adventure
82,Kick the Buddy: Forever,Playgendary Limited,4.6,0.0,348500.0,0,235300000.0,12,46,Action
83,Draw Joust‪!‬,Voodoo,4.7,0.0,244800.0,0,308400000.0,12,92,Action
84,Street Fighter IV CE,"CAPCOM Co., Ltd",4.8,0.0,17600.0,1,2200000000.0,12,6,Casual
85,Worms™ 4,Team17 Digital Limited,3.9,4.99,698.0,1,271700000.0,9,67,Strategy
86,Sonic Runners Adventure,Gameloft,4.7,0.0,23000.0,1,37300000.0,4,62,Adventure
87,Score! Hero 2023,First Touch Games Ltd.,4.6,0.0,96300.0,0,255800000.0,4,21,Sports
88,Dumb Ways to Die,Metro Trains Melbourne Pty Ltd,4.4,5.99,20900.0,0,784600000.0,12,38,Action
89,Shadow Fight 2 Special Edition,Nekki Limited,4.7,0.0,6400.0,1,369200000.0,12,18,Playing
90,Galaxy Attack: Alien Shooter,ABIGAMES PTE. LTD,4.7,0.0,498300.0,1,303300000.0,9,75,Action
91,Fun with Ragdolls,Jadon Barnes,4.5,0.0,2200.0,1,288300000.0,9,61,Simulation
92,Among Us‪!‬,InnerSloth LLC,4.1,0.0,722900.0,1,627500000.0,9,6,Action
93,RAID: Shadow Legends,Plarium Global Ltd,4.7,1.99,417700.0,1,239400000.0,12,45,Playing
94,Galaxy Attack: Space Shooter,RocketAds Ltd,4.7,3.99,240200.0,0,302600000.0,4,49,Action
95,True Skate,TRUE AXIS PTY LTD,3.8,0.0,7900.0,1,173100000.0,4,1,Sports
96,Playdead's LIMBO,Playdead ApS,4.6,2.99,2500.0,0,143400000.0,12,16,Puzzle
97,Hill Climb Racing,Fingersoft,4.6,0.0,57100.0,1,206400000.0,9,27,Racing
98,Downwell,"Devolver Digital, Inc.",4.7,0.0,1700.0,1,84300000.0,9,25,Casual
99,Hunting Clash: Hunter World,Ten Square Games S.A.,4.7,2.99,26500.0,0,292800000.0,17,81,Action
100,Talking Tom Hero Dash Run Game,Outfit7 Limited,4.4,0.99,182000.0,1,434500000.0,4,100,Action
101,Draw Saber,KAYAC Inc.,4.6,0.0,9500.0,0,128000000.0,12,98,Action
102,Plug Toolbox for Minecraft,Innovative Developers LTD,3.4,0.99,1100.0,0,40800000.0,4,61,Adventure
103,Earn to Die 2,Not Doppler Pty Limited,4.7,4.99,4800.0,0,83300000.0,12,1,Racing
104,Traffic Run‪!‬,Geisha Tokyo Inc.,4.6,2.99,328200.0,1,377600000.0,9,63,Action
105,Zombieville USA,"Mika Mobile, Inc.",4.6,0.0,165.0,1,79400000.0,12,33,Casual
106,Grand Theft Auto: Vice City,"Rockstar Games, Inc.",4.5,0.99,13300.0,1,1200000000.0,17,6,Adventure
107,Kick the Buddy: Second Kick,Playgendary Limited,4.6,4.99,29300.0,1,412000000.0,12,90,Action
108,Flick Home Run ‪!‬,infinity pocket,3.4,0.0,1200.0,1,27400000.0,4,6,Sports
109,Need for Speed™ Most Wanted,EA Swiss Sarl,3.7,9.99,1500.0,0,2100000000.0,4,3,Racing
110,Temple Run 2,"Imangi Studios, LLC",4.5,0.0,436900.0,1,273200000.0,9,8,Adventure
111,Jackass Human Slingshot,BroadbandTV Corp,4.7,0.0,1700.0,1,958800000.0,9,59,Action
112,Just Dance 2023 Controller,Ubisoft,2.0,4.99,235.0,0,201000000.0,4,8,Music
113,SpongeBob SquarePants,www.handy-games.com GmbH,4.5,7.99,1000.0,1,3100000000.0,9,19,Adventure
114,1945 - Airplane shooting games,ONESOFT GLOBAL PTE. LTD.,4.8,0.0,312100.0,1,310500000.0,12,96,Action
115,Plug for Terraria,Innovative Developers LTD,4.3,6.99,2000.0,0,2500000.0,4,87,Adventure
116,Streets of Rage 4,Playdigious,4.8,0.0,1100.0,1,1700000000.0,12,37,Adventure
117,Night Skate,ODD ANIMAL LLC,4.8,0.0,170.0,1,159600000.0,4,15,Sports
118,Smash Hit,Mediocre AB,4.6,0.0,95000.0,1,95000000.0,4,97,Action
119,Bully: Anniversary Edition,"Rockstar Games, Inc.",4.7,0.0,8100.0,1,2400000000.0,12,11,Adventure
120,Brawl Stars,Supercell Oy,4.7,3.99,1200000.0,0,604500000.0,9,30,Action
121,Uboat Attack,Voodoo,4.5,0.0,53600.0,0,264700000.0,12,71,Action
122,Five Nights at Freddy's: HW,"Steel Wool Games, Inc",4.0,0.0,2200.0,0,869400000.0,12,45,Action
123,Diablo Immortal,"Blizzard Entertainment, Inc.",4.6,3.99,163500.0,0,3700000000.0,17,47,Playing
124,Zooba: Zoo Battle Royale Games,Wildlife Studios Limited,4.7,0.0,337400.0,0,251800000.0,12,17,Adventure
125,Jelly Run 2048,AI GAMES FZ LLC,4.6,0.0,1800.0,1,168800000.0,4,93,Action
126,Survivalcraft 2,Igor Kalicinski,4.2,14.99,1600.0,0,76700000.0,9,54,Adventure
127,Subway Surfers,Sybo Games ApS,4.7,4.99,2400000.0,0,262100000.00000003,9,3,Action
128,Alien Invasion: RPG Idle Space,MULTICAST GAMES LIMITED,4.8,0.0,5900.0,1,261500000.0,12,16,Playing
129,Hyper Light Drifter,Abylight SL,4.9,0.0,5400.0,1,852100000.0,12,67,Adventure
130,Call of Duty®: Mobile,"Activision Publishing, Inc.",4.7,0.0,1600000.0,1,2800000000.0,17,4,Action
131,The Binding of Isaac: Rebirth,"Nicalis, Inc.",4.6,0.99,3100.0,0,395500000.0,17,16,Playing
132,Alto's Adventure,Snowman,4.6,0.0,1900.0,1,234600000.0,9,4,Sports
133,Twerk Race 3D — Fun Run Game,Freeplay LLC,4.5,4.99,51400.0,0,233400000.0,12,66,Action
134,Sword Play! Ninja Slice Runner,AI GAMES FZ LLC,4.7,2.99,166300.0,1,116800000.0,12,62,Action
135,Goose Goose Duck,"Gaggle Studios, Inc.",4.6,2.99,2300.0,0,882800000.0,12,21,Strategy
136,Tank Hero,Clapfoot Inc,4.6,0.0,1100.0,1,16800000.0,9,37,Casual
137,ScourgeBringer,Plug In Digital,4.9,1.99,207.0,0,160600000.0,9,42,Adventure
138,Kingdom Rush Frontiers TD,Ironhide S.A.,4.9,0.0,11700.0,1,178200000.0,9,19,Action
139,Fruit Ninja‪®‬,Halfbrick,4.7,0.99,176700.0,1,269200000.0,4,67,Action
140,Carnivores: Ice Age Pro,"Tatem Games, private company",4.6,0.0,266.0,1,424500000.0,12,78,Simulation
141,Alto's Odyssey,Snowman,4.4,1.99,2800.0,1,218200000.0,9,5,Sports
142,Ultimate Custom Night,CLICKTEAM L.L.C.,4.6,6.99,3900.0,1,180500000.0,12,15,Action
143,METAL SLUG 3,SNK CORPORATION,3.5,0.99,817.0,1,155400000.0,9,21,Casual
144,Spider Fighter 2,Starplay DMCC,4.7,0.0,16200.0,1,283300000.0,12,84,Action
145,Kepler Attack,RED SPRITE STUDIOS PTY LTD,4.5,0.0,674.0,1,48200000.0,4,35,Casual
146,Bike Race Pro: Motor Racing,Top Free Games,4.8,6.99,6400.0,0,165900000.0,4,10,Racing
147,Jetpack Joyride,Halfbrick,4.7,0.99,80500.0,0,305300000.0,9,65,Action
148,Arcadia - Arcade Watch Games,Raffaele D'Amato,4.8,7.99,6800.0,0,36400000.0,4,2,Casual
149,Rovio Classics: AB,Rovio Entertainment Oyj,4.8,0.0,23700.0,0,232400000.0,4,1,Puzzle
150,ShellShock Live,"KChamp Games, Inc.",4.0,0.0,58.0,0,425900000.0,9,63,Strategy
151,Soccer Super Star,SIMFACE LIMITED,4.6,0.0,44700.0,1,296500000.0,4,1,Sports
152,BADLAND,HypeHype Oy,4.7,6.99,1500.0,0,235400000.0,9,68,Adventure
153,Roblox,Roblox Corporation,4.5,0.99,8500000.0,0,272100000.0,12,1,Action
154,Survivor!.io,HABBY PTE. LTD.,4.8,7.99,110100.0,0,298100000.0,4,2,Action
155,Number Master: Run and merge,KAYAC Inc.,4.4,0.0,2200.0,0,125300000.0,4,36,Action
156,GTA: Liberty City Stories,"Rockstar Games, Inc.",4.4,0.0,5800.0,1,2000000000.0,17,30,Adventure
157,HAAK,ZhiXiong Huang,4.7,0.0,19.0,1,513400000.0,12,58,Adventure
158,Street Dude - Homeless Empire,SayGames LTD,4.6,0.0,1700.0,1,879600000.0,4,46,Playing
159,Hungry Shark Evolution,Ubisoft,4.7,19.99,155100.0,1,397700000.0,12,95,Action
160,Stumble Guys,Kitka Games Oy,4.3,2.99,139100.0,0,203100000.0,9,11,Action
161,DRAGON BALL LEGENDS,Bandai Namco Entertainment Inc.,4.8,9.99,587600.0,1,354500000.0,12,24,Playing
162,Haunt the House: Terrortown,SFB Games Ltd.,4.8,0.0,1000.0,1,192700000.0,9,52,Puzzle
163,Max Payne Mobile,"Rockstar Games, Inc.",4.4,1.99,751.0,0,1800000000.0,17,5,Casual
164,Wreckfest,www.handy-games.com GmbH,4.3,0.0,197.0,1,1500000000.0,9,6,Racing
165,NBA 2K Mobile Basketball Game,2K Sports,4.8,0.0,1100000.0,1,2100000000.0,4,8,Sports
166,Fish in a Watch,Viktor Hesselbom,3.4,0.99,18.0,0,25700000.0,9,12,Casual
167,Plants vs. Zombies‪™‬,EA Swiss Sarl,4.8,0.99,594900.0,1,184500000.0,9,51,Action
168,Sonic at the Olympic Games‪.‬,Sega America,4.1,0.0,33.0,1,704200000.0,4,10,Sports
169,Worms 2: Armageddon,Team17 Digital Limited,3.8,0.0,119.0,1,530000000.0,12,70,Strategy
170,Crowd Evolution‪!‬,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,4.3,0.0,52000.0,1,246600000.0,12,3,Strategy
171,DungeonSquad,GameCoaster,4.8,0.0,191.0,1,1100000000.0,12,37,Playing
172,Smash Runner‪!‬,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,4.6,0.0,11400.0,0,334200000.0,12,52,Action
173,Pixel Gun 3D: Online Shooter,Cubic Games Ltd,4.8,0.0,804900.0,1,750800000.0,12,53,Action
174,Ping Pong - Watch Retro Game,Briegers GbR,4.5,0.0,4500.0,1,49700000.0,4,50,Action
175,Hungry Shark World,Ubisoft,4.8,0.0,467800.0,1,303100000.0,12,94,Action
176,Snake.io - Fun Online Slither,Kooapps,4.6,0.0,135400.0,1,254500000.0,4,11,Strategy
177,Going Balls,SUPERSONIC STUDIOS LTD,4.6,2.99,81300.0,0,523300000.0,12,10,Action
178,Tomb of the Mask,Playgendary Limited,4.7,3.99,1200000.0,1,210100000.0,12,12,Action
179,Hide 'N Seek‪!‬,SUPERSONIC STUDIOS LTD,4.6,3.99,413000.0,1,299400000.0,12,33,Action
180,Five Nights at Freddy's: SL,CLICKTEAM L.L.C.,4.4,2.99,9500.0,0,313600000.0,12,13,Action
181,Construction Simulator 3,astragon Entertainment GmbH,4.5,4.99,978.0,1,1700000000.0,4,71,Simulation
182,Kingdom Rush Vengeance TD Game,Ironhide S.A.,4.8,0.0,34700.0,1,880600000.0,9,18,Action
183,Stack Ball 3D,AZUR INTERACTIVE GAMES LIMITED,4.7,0.0,684200.0,1,157800000.0,4,20,Action
184,LEGO Batman: DC Super Heroes,Warner Bros. Entertainment,4.0,0.0,3500.0,1,1100000000.0,9,41,Adventure
185,Count Masters: Crowd Runner 3D,Freeplay LLC,4.5,0.0,371800.0,1,186700000.0,12,9,Action
186,Sniper 3D: Gun Shooting Games,Fun Games For Free,4.8,1.99,2800000.0,1,401100000.0,17,13,Action
187,Critical Strike CS: Online FPS,VERTIGOGAMES OU,4.6,0.0,13500.0,0,900200000.0,17,18,Adventure
188,Fruit Ninja Classic,Halfbrick,4.1,0.0,1300.0,0,103700000.0,4,20,Casual
189,Door Kickers,KILLHOUSE GAMES SRL,4.9,0.0,1700.0,1,999100000.0,12,68,Strategy
190,Dead Cells,Playdigious,4.8,2.99,8200.0,0,1400000000.0,12,7,Playing
191,Sonic Dash Endless Runner Game,Sega America,4.7,0.99,334900.0,0,531500000.0,4,68,Action
192,Castlevania: SotN,"Konami Digital Entertainment Co., Ltd.",3.9,0.99,1500.0,1,341700000.0,4,29,Adventure
193,Unsolved: Hidden Mystery Games,Artifex Mundi S.A.,4.5,0.0,4000.0,0,370900000.0,12,88,Adventure
194,Grand Theft Auto V: The Manual,"Rockstar Games, Inc.",3.8,0.0,4400.0,1,283400000.0,17,72,Adventure
195,Murder in Alps: Hidden Mystery,Nordcurrent UAB,4.3,0.0,94000.0,0,145300000.0,12,83,Adventure
196,Poppy Playtime Chapter 1,"EnchantedMob, Inc.",4.6,2.99,4900.0,0,1400000000.0,12,3,Puzzle
197,There Is No Game: WD,Draw Me A Pixel,4.7,4.99,939.0,0,719100000.0,4,30,Puzzle
198,60 Seconds! Reatomized,Robot Gentleman sp. z o.o.,4.2,3.99,10.0,0,715600000.0,12,15,Adventure
199,Raft Survival: Multiplayer,TREASTONE LTD,4.5,0.0,10800.0,1,249900000.0,9,32,Adventure
200,Raft Survival - Ocean Nomad,TREASTONE LTD,4.7,0.0,195900.0,1,379200000.0,9,27,Adventure
201,Bullet Echo,ZeptoLab UK Limited,4.8,0.0,49800.0,0,256300000.0,17,90,Adventure
202,The House of Da Vinci,"Blue Brain Games, s.r.o.",4.8,4.99,22700.0,0,1000000000.0,9,21,Puzzle
203,Castle of Illusion,"Disney Electronic Content, Inc.",4.0,4.99,2400.0,0,558400000.0,9,35,Playing
204,Shattered Pixel Dungeon,Evan Debenham,4.9,3.99,1200.0,0,125100000.0,9,29,Playing
205,Monument Valley 2,ustwo Games Ltd,4.4,4.99,6000.0,1,320400000.0,4,16,Puzzle
206,Hide and Seek: Cat Escape‪!‬,JP Group limited,4.5,0.0,5300.0,1,248000000.0,4,72,Adventure
207,Coin Master,Moon Active LTD,4.7,0.0,566700.0,1,260100000.00000003,17,5,Adventure
208,Rusty Lake Hotel,Rusty Lake B.V.,4.8,1.99,1300.0,0,46500000.0,12,23,Puzzle
209,Find Diamonds! Minecraft Ores,Elad Apps Pty. Ltd.,4.5,0.0,14400.0,1,56400000.0,4,19,Adventure
210,60 Seconds! Atomic Adventure,Robot Gentleman sp. z o.o.,4.1,3.99,2100.0,0,310400000.0,12,13,Adventure
211,Ninja Storm:Coalition War,WHESBY LIMITED,4.6,0.0,99.0,1,1400000000.0,12,64,Adventure
212,The Ghost - Survival Horror,Oleg Sapovsky,4.0,4.99,1400.0,0,487600000.0,12,46,Adventure
213,Sushi Cat,Armor Games Inc,4.3,3.99,560.0,0,63300000.0,4,56,Puzzle
214,Her Story,Sam Barlow,4.1,2.99,554.0,0,1900000000.0,17,5,Word
215,Shapik: The Moon Quest,Paul Podberezko,0.0,0.99,0.0,0,829500000.0,4,9,Puzzle
216,LifeAfter,Hong Kong Netease Interactive Entertainment Limited,4.0,0.0,17200.0,0,3600000000.0,17,78,Adventure
217,Best Fiends - Match 3 Puzzles,Seriously Digital Entertainment Oy,4.8,1.99,272800.0,0,676000000.0,4,41,Adventure
218,Overboard‪!‬,inkle Ltd,4.4,1.99,154.0,0,172900000.0,12,44,Playing
219,Fiona’s Farm,ACE ACADEMY TEKNOLOJI ANONIM SIRKETI,4.9,0.0,11500.0,1,312100000.0,4,40,Adventure
220,Playdead's INSIDE,Playdead ApS,4.3,4.99,25200.0,0,1300000000.0,12,58,Adventure
221,Monument Valley,ustwo Games Ltd,4.7,5.99,5300.0,0,316200000.0,4,8,Puzzle
222,Samorost 3,Amanita Design s.r.o.,4.5,0.0,518.0,1,1300000000.0,9,28,Family
223,"PK XD: Fun, friends & games",Afterverse NL Holdings B.V,4.7,0.0,176900.0,1,477300000.0,9,55,Adventure
224,Tick Tock: A Tale for Two,Other Tales Interactive ApS,4.5,3.99,187.0,1,709900000.0,4,34,Puzzle
225,The Room Three,Fireproof Studios Limited,4.9,0.0,32400.0,1,931300000.0,9,17,Puzzle
226,Criminal Case,Pretty Simple,4.6,3.99,32100.0,0,148400000.0,12,96,Adventure
227,Fireboy and Watergirl: Online,Metin Yucel,4.1,0.99,9900.0,1,153400000.0,4,98,Adventure
228,Danganronpa V3: Killing Harmon,"Spike-Chunsoft CO, LTD.",4.3,5.99,112.0,0,3400000000.0,12,28,Casual
229,Monster Hunter Stories,"CAPCOM Co., Ltd",4.5,4.99,1100.0,0,4100000000.0,4,32,Playing
230,Marvel Contest of Champions,"Kabam Games, Inc.",4.7,4.99,564500.0,0,1800000000.0,12,43,Adventure
231,Cover Fire: Gun Shooting games,Genera Games S.A.,4.7,0.0,29800.0,0,824900000.0,17,99,Adventure
232,Hello Neighbor,TINYBUILD LLC,3.9,0.0,111800.0,1,1700000000.0,9,22,Adventure
233,Rusty Lake Paradise,Rusty Lake B.V.,4.7,0.0,1600.0,1,124000000.0,12,42,Puzzle
234,EvoCreo™: Pocket Monster Like,ilmfinity LLC,4.7,2.99,4300.0,0,126000000.0,9,43,Playing
235,Lunar Silver Star Story Touch,"SoMoGa, Inc.",4.6,2.99,704.0,1,1100000000.0,12,36,Playing
236,Station 117,Glitch Games Ltd,3.3,9.99,3.0,0,783300000.0,12,6,Puzzle
237,LEGO® Star Wars™: TCS,Warner Bros. Entertainment,4.3,1.99,23800.0,0,866400000.0,9,92,Adventure
238,Harry Potter: Hogwarts Mystery,"Jam City, Inc.",4.7,0.0,1100000.0,1,303500000.0,12,20,Adventure
239,Forager,"Humble Bundle, Inc.",4.4,0.0,483.0,1,171100000.0,9,51,Adventure
240,Fun Run 3 - Multiplayer Games,Dirtybit AS,4.7,7.99,198900.0,0,469200000.0,12,22,Racing
241,DEAD TRIGGER 2: Zombie Games,"MADFINGER Games, a.s.",4.7,0.0,82600.0,1,1100000000.0,17,93,Adventure
242,LEGO® Jurassic World‪™‬,Warner Bros. Entertainment,4.3,0.0,3200.0,1,1000000000.0,9,41,Puzzle
243,Capybara Rush,Popa Radu,4.8,0.0,2600.0,1,398500000.0,9,62,Adventure
244,Grand Mountain Adventure,Toppluva AB,4.5,0.0,6100.0,1,896100000.0,9,71,Adventure
245,DEAD TARGET: Zombie War Games,Trung Nguyen,4.7,0.0,25000.0,0,602200000.0,17,60,Adventure
246,Fran Bow Chapter 1,Killmonday Games AB,4.4,1.99,223.0,0,114300000.0,12,40,Puzzle
247,Meridian 157: Chapter 1,NovaSoft Interactive Limited,4.7,0.99,4000.0,0,211900000.0,12,43,Puzzle
248,Danganronpa: Trigger Happy Hav,"Spike-Chunsoft CO, LTD.",4.6,5.99,1700.0,0,3900000000.0,12,40,Casual
249,Stickman Hero Fight : All-Star,MEGA META JOINT STOCK COMPANY,4.8,0.0,1100.0,1,261600000.00000003,4,80,Adventure
250,ARK: Survival Evolved,Wildcard Properties LLC,4.4,0.0,93300.0,1,2000000000.0,12,47,Adventure
251,The White Door,Second Maze B.V.,4.6,2.99,1400.0,0,146600000.0,12,39,Puzzle
252,Rooms&Exits Puzzle Escape Room,WEBELINX GAMES DOO,4.7,0.0,4400.0,1,230100000.0,12,33,Adventure
